,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400
20,1.03,1.08,1.13,1.17,1.2,1.23,1.26,1.28,1.3,1.31,1.32,1.34,1.35,1.36
300,1.02,1.06,1.12,1.16,1.2,1.23,1.26,1.28,1.3,1.32,1.33,1.35,1.36,1.37
350,1.02,1.06,1.11,1.16,1.2,1.23,1.26,1.28,1.3,1.32,1.33,1.34,1.36,1.37
400,1.02,1.06,1.11,1.16,1.2,1.23,1.25,1.28,1.3,1.31,1.33,1.34,1.35,1.36
450,1.02,1.06,1.11,1.16,1.19,1.23,1.25,1.27,1.29,1.31,1.33,1.34,1.35,1.36
500,1.02,1.06,1.11,1.15,1.19,1.22,1.25,1.27,1.29,1.31,1.33,1.34,1.35,1.36
550,1.02,1.06,1.11,1.15,1.19,1.22,1.25,1.27,1.29,1.31,1.32,1.34,1.35,1.36
600,1,1.03,1.07,1.12,1.16,1.2,1.23,1.25,1.28,1.3,1.32,1.33,1.35,1.36
